
Select all,Ctrl+A,Command+A
Deselect all,F2 or Ctrl+Shift+A,F2 or Command+Shift+A
"Rename selected layer, composition, folder, effect, group, or mask",Enter on main keyboard,Return
"Open selected layer, composition, or footage item",Enter on numeric keypad,Enter on numeric keypad
"Move selected layers, masks, effects, or render items down (back) or up (forward) in stacking order",Ctrl+Alt+Down Arrow or Ctrl+Alt+Up Arrow,Command+Option+Down Arrow or Command+Option+Up Arrow
"Move selected layers, masks, effects, or render items to bottom (back) or top (front) of stacking order",Ctrl+Alt+Shift+Down Arrow or Ctrl+Alt+Shift+Up Arrow,Command+Option+Shift+Down Arrow or Command+Option+Shift+Up Arrow
"Extend selection to next item in Project panel, Render Queue panel, or Effect Controls panel",Shift+Down Arrow,Shift+Down Arrow
"Extend selection to previous item in Project panel, Render Queue panel, or Effect Controls panel",Shift+Up Arrow,Shift+Up Arrow
"Duplicate selected layers, masks, effects, text selectors, animators, puppet meshes, shapes, render items, output modules, or compositions",Ctrl+D,Command+D
Quit,Ctrl+Q,Command+Q
Undo,Ctrl+Z,Command+Z
Redo,Ctrl+Shift+Z,Command+Shift+Z
Purge All Memory,Ctrl+Alt+/ (on numeric keypad),Command+Option+/ (on numeric keypad)
Interrupt running a script,Esc,Esc
Display filename corresponding to the frame at the current time in the Info panel,Ctrl+Alt+E,Command+Option+E
New project,Ctrl+Alt+N,Command+Option+N
Open project,Ctrl+O,Command+O
Open most recent project,Ctrl+Alt+Shift+P,Command+Option+Shift+P
New folder in Project panel,Ctrl+Alt+Shift+N,Command+Option+Shift+N
Open Project Settings dialog box,Ctrl+Alt+Shift+K,Command+Option+Shift+K
Find in Project panel,Ctrl+F,Command+F
Cycle through color bit depths for project,"Alt-click bit-depth button at bottom of
Project panel","Option-click bit-depth button at bottom
of Project panel"
Open Project Settings dialog box,"Click bit-depth button at bottom of Project
panel","Click bit-depth button at bottom of Project
panel"
Open Preferences dialog box,Ctrl+Alt+; (semicolon),Command+Option+; (semicolon)
Restore default preferences settings,"Hold down Ctrl+Alt+Shift while starting
After Effects","Hold down Command+Option+Shift while starting
After Effects"
Open or close Project panel,Ctrl+0,Command+0
Open or close Render Queue panel,Ctrl+Alt+0,Command+Option+0
Open or close Tools panel,Ctrl+1,Command+1
Open or close Info panel,Ctrl+2,Command+2
Open or close Preview panel,Ctrl+3,Command+3
Open or close Audio panel,Ctrl+4,Command+4
Open or close Effects & Presets panel,Ctrl+5,Command+5
Open or close Character panel,Ctrl+6,Command+6
Open or close Paragraph panel,Ctrl+7,Command+7
Open or close Paint panel,Ctrl+8,Command+8
Open or close Brushes panel,Ctrl+9,Command+9
"Open or close Effect Controls panel for selected
layer",F3 or Ctrl+Shift+T,F3 or Command+Shift+T
Open Flowchart panel for project flowchart,Ctrl+F11,Command+F11
Switch to workspace,"Shift+F10, Shift+F11, or Shift+F12","Shift+F10, Shift+F11, or Shift+F12"
Close active viewer or panel (closes content first),Ctrl+W,Command+W
"Close active panel or all viewers of type
of active viewer (closes content first). For example, if a Timeline
panel is active, this command closes all Timeline panels.",Ctrl+Shift+W,Command+Shift+W
"Split the frame containing the active viewer and
create a new viewer with opposite locked/unlocked state",Ctrl+Alt+Shift+N,Command+Option+Shift+N
Maximize or restore panel under pointer,` (accent grave),` (accent grave)
"Resize application window or floating window
to fit screen. (Press again to resize window so that contents fill
the screen.)",Ctrl+\ (backslash),Command+\ (backslash)
"Move application window or floating window to
main monitor; resize window to fit screen. (Press again to resize
window so that contents fill the screen.)",Ctrl+Alt+\ (backslash),Command+Option+\ (backslash)
"Toggle activation between Composition panel
and Timeline panel for current composition",\ (backslash),\ (backslash)
"Cycle to previous or next item in active
viewer (for example, cycle through open compositions)","Shift+, (comma) or Shift+. (period)","Shift+, (comma) or Shift+. (period)"
"Cycle to previous or next panel in active frame
(for example, cycle through open Timeline panels)","Alt+Shift+, (comma) or Alt+Shift+. (period)","Option+Shift+, (comma) or Option+Shift+.
(period)"
"Activate a view in a multi-view layout in
the Composition panel without affecting layer selection",click with middle mouse button,click with middle mouse button

Cycle through tools,Alt-click tool button in Tools panel,Option-click tool button in Tools panel
Activate Selection tool,V,V
Activate Hand tool,H,H
Temporarily activate Hand tool,Hold down spacebar or the middle mouse button.,Hold down spacebar or the middle mouse button.
Activate Zoom In tool,Z,Z
Activate Zoom Out tool,Alt (when Zoom In tool is active),Option (when Zoom In tool is active)
Activate Rotation tool,W,W
Activate Roto Brush tool,Alt+W,Option+W
"Activate and cycle through Camera tools (Unified Camera, Orbit Camera, Track XY Camera, and Track Z Camera)",C,C
Activate Pan Behind tool,Y,Y
"Activate and cycle through mask and shape tools (Rectangle, Rounded Rectangle, Ellipse, Polygon, Star)",Q,Q
Activate and cycle through Type tools (Horizontal and Vertical),Ctrl+T,Command+T
Activate and cycle between the Pen and Mask Feather tools. Note - You can turn off this setting in the Preferences dialog box.,G,G
Temporarily activate Selection tool when a pen tool is selected,Ctrl,Command
Temporarily activate pen tool when the Selection tool is selected and pointer is over a path (Add Vertex tool when pointer is over a segment; Convert Vertex tool when pointer is over a vertex),Ctrl+Alt,Command+Option
"Activate and cycle through Brush, Clone Stamp, and Eraser tools",Ctrl+B,Command+B
Activate and cycle through Puppet tools,Ctrl+P,Command+P
Temporarily convert Selection tool to Shape Duplication tool,Alt (in shape layer),Option (in shape layer)
Temporarily convert Selection tool to Direct Selection tool,Ctrl (in shape layer),Command (in shape layer)

New composition,Ctrl+N,Command+N
Open Composition Settings dialog box for selected composition,Ctrl+K,Command+K
Set beginning or end of work area to current time,B or N,B or N
"Set work area to duration of selected layers or, if no layers are selected, set work area to composition duration",Ctrl+Alt+B,Command+Option+B
Open Composition Mini-Flowchart for active composition,Tab,"Tab
"
Activate the most recently active composition that is in the same composition hierarchy (network of nested compositions) as the currently active composition,Shift+Esc,Shift+Esc
Go to specific time,Alt+Shift+J,Option+Shift+J
Go to beginning or end of work area,Shift+Home or Shift+End,Shift+Home or Shift+End
"Go to previous or next visible item in time
ruler (keyframe, layer marker, work area beginning or end)",J or K,J or K
"Go to beginning of composition, layer, or
footage item",Home or Ctrl+Alt+Left Arrow,Home or Command+Option+Left Arrow
"Go to end of composition, layer, or footage item",End or Ctrl+Alt+Right Arrow,End or Command+Option+Right Arrow
Go forward 1 frame,Page Down or Ctrl+Right Arrow,Page Down or Command+Right Arrow
Go forward 10 frames,Shift+Page Down or Ctrl+Shift+Right Arrow,Shift+Page Down or Command+Shift+Right Arrow
Go backward 1 frame,Page Up or Ctrl+Left Arrow,Page Up or Command+Left Arrow
Go backward 10 frames,Shift+Page Up or Ctrl+Shift+Left Arrow,Shift+Page Up or Command+Shift+Left Arrow
Go to layer In point,I,I
Go to layer Out point,O,O
Go to previous In point or Out point,Ctrl+Alt+Shift+Left Arrow,Command+Option+Shift+Left Arrow
Go to next In point or Out point,Ctrl+Alt+Shift+Right Arrow,Command+Option+Shift+Right Arrow
Scroll to current time in Timeline panel,D,D

